Site ID;Site Name;Dept;Latitude;Longitude;Class;Uplink;Ip Adress;Type;Slot Port;
MPW129;SplitSungaiAmbawang-2;NS PONTIANAK;-0,035300002;109,4410019;Silver;GPON03-D6-SAO-3ABW;172.20.169.17;zte-ont;1/2/3:24;#REF!
MPW130;SEIRAYADALAM;NS PONTIANAK;-0,096960001;109,3570023;Silver;GPON01-D6-SRD-3;172.20.192.142;zte-ont;1/6/1:15;#REF!
MPW131;TB_GANGWONODADI;NS PONTIANAK;-0,118220001;109,3980026;Silver;TSEL_MPW011_AIRPORTMACRO;172.25.146.69;switch;GE 1/02;#REF!
MPW132;TB_KOTABARU;NS PONTIANAK;-0,064070001;109,3000031;Silver;ME2-D6-PTK-3;172.31.150.103;metro;3/1/19;#REF!
MPW134;TB_PENTEK;NS PONTIANAK;0,516449988;109,1539993;Silver;TSEL_MPW033_TOHO;172.25.146.51;switch;GE7;#REF!
MPW135;TB_PERUMNAS4;NS PONTIANAK;-0,036770001;109,3809967;Silver;GPON00-D6-SAO-2;172.20.161.181;hua-ont;0/3/15 20;#REF!
MPW136;TB_TELUKKAPUAS;NS PONTIANAK;-0,099399999;109,4029999;Silver;GPON00-D6-SRY-3;172.20.192.136;zte-ont;1/14/12:28;#REF!
MPW137;TB_ARANGLIMBUNG2;NS PONTIANAK;-0,096490003;109,3939972;Gold;GPON00-D6-SRY-3;172.20.192.136;zte-ont;1/7/1:1;#REF!
MPW138;TB-BAPPEDA;NS PONTIANAK;-0,071510002;109,3710022;Gold;GPON00-D6-SRY-3;172.20.192.136;zte-ont;1/5/8:2;#REF!
MPW139;TBBTLAYANG2;NS PONTIANAK;0,0206;109,2710037;Silver;GPON01-D6-STA-2;172.20.161.173;hua-ont;0 8 10 15;#REF!
MPW140;TB_JAWATENGAH;NS PONTIANAK;-0,03489;109,3949966;Gold;GPON00-D6-SAO-2;172.20.161.181;hua-ont;0/8/5 1;#REF!
MPW141;TBPSBERINGI;NS PONTIANAK;0,282050014;109,072998;Silver;GPON00-D6-SPY-3;172.20.192.140;zte-ont;1/2/8:4;#REF!
MPW142;TB_SIMPANGRASAU;NS PONTIANAK;-0,153190002;109,4179993;Silver;GPON01-D6-SRY-3SPD;172.20.227.71;zte-ont;1/1/2:112;#REF!
MPW143;TelokPekadai-31;NS PONTIANAK;-0,3125;109,151001;Gold;-;-;-;-;-
MPW144;TPIJerujuExLancakBadau/TPIJERUJU;NS PONTIANAK;-0,0053;109,2699966;Silver;GPON00-D6-JAW-3;172.20.192.135;zte-ont;1/2/8:9;#REF!
MPW145;WIDYAPERMAI;NS PONTIANAK;-0,063333303;109,3030014;Silver;GPON00-D6-PTK-2;172.20.161.141;hua-ont;0 16 12 1;#REF!
MPW148;PT_SINARPELITA;NS PONTIANAK;-0,071079999;109,2979965;Silver;GPON02-D6-PTK-3;172.20.227.72;zte-ont;1/12/7:1;#REF!
MPW149;WisataNusantaraPenib;NS PONTIANAK;0,430671006;108,9459991;Silver;GPON00-D6-MPW-2;172.20.161.132;hua-ont;0/8/9 0;#REF!
MPW153;AkbidSupadioexPertamina_MGMW;NS PONTIANAK;-0,126506999;109,4029999;Silver;GPON01-D6-SRY-3SPD;172.20.227.71;zte-ont;1/1/12:28;#REF!
MPW154;PT_DESATELUKPAKKEDAI;NS PONTIANAK;0,215910003;109,1999969;Silver;GPON04-D6-SPY-2PRN;172.20.161.186;hua-ont;0 2 7 2;#REF!
MPW157;PT_RUKOAHMADYANI;NS PONTIANAK;-0,095810004;109,3769989;Silver;GPON07-D6-SRY-2;172.20.168.93;hua-ont;0/1/5 1;#REF!
MPW158;C_MPW158_MT_DESAKAPUR;NS PONTIANAK;-0,062835;109,3809967;Platinum;GPON03-D6-SAO-3;172.20.160.78;zte-ont;1/8/10:1;#REF!
MPW167;MC_BANDARASUPADIO;NS PONTIANAK;-0,147505999;109,4049988;Silver;GPON01-D6-SRY-2SPD;172.20.161.169;hua-ont;0 0 1 9;#REF!
MPW169;MT_DESASETIABARU;NS PONTIANAK;-0,815249979;109,4929962;Bronze;-;-;-;-;-
MPW171;MT_PARITSELATAN;NS PONTIANAK;;;;GPON01-D6-STA-2;172.20.161.173;zte-ont;0/13/12 0;#REF!
MPW172;MT_KOMPLEKPIL;NS PONTIANAK;-0,083800003;109,3789978;Silver;GPON00-D6-SRY-3;172.20.192.136;zte-ont;1/8/8:10;#REF!
MPW173;MC_ADISUCIPTO HILIR;NS PONTIANAK;-0,063950002;109,3679962;Silver;GPON07-D6-SRY-2;172.20.168.93;zte-ont;0 2 12 11;#REF!
MPW175;MT_GGSWASTAPTK;NS PONTIANAK;-0,091788903;109,3860016;Bronze;GPON07-D6-SRY-2;172.20.168.93;hua-ont;0 1 3 0;#REF!
MPW176;MT_MARKEBUN;NS PONTIANAK;-0,395779997;109,3980026;Silver;-;-;-;-;-
MPW177;MT_MARDISTRIKASDE;NS PONTIANAK;-0,282449991;109,3030014;Silver;-;-;-;-;-
MPW178;TB_SIAGASEIRAYA;NS PONTIANAK;-0,072883002;109,3690033;Silver;GPON00-D6-SRY-3;172.20.192.136;zte-ont;1/9/15:5;#REF!
MPW180;MT_KAMPUNGPARIT;NS PONTIANAK;-0,0813611;109,4029999;Bronze;GPON03-D6-SAO-3;172.20.160.78;zte-ont;1/7/14:40;#REF!
MPW181;-;NS PONTIANAK;-0,267879993;109,3580017;Bronze;-;-;-;-;-
MPW182;MEMPAWANHILIR;NS PONTIANAK;0,350580007;108,9649963;Bronze;GPON00-D6-MPW-2;172.20.161.132;hua-ont;0 14 6 2;#REF!
MPW185;MT_TELIKKAPUAS;NS PONTIANAK;-0,101379998;109,3909988;Silver;GPON00-D6-SRY-3;172.20.192.136;zte-ont;1/6/8:5;#REF!
MPW186;-;NS PONTIANAK;-0,073210001;109,3639984;Bronze;GPON00-D6-SRD-2;172.20.161.144;hua-ont;0/3/1 19;#REF!
MPW188;-;NS PONTIANAK;-0,078950003;109,3850021;Bronze;GPON00-D6-SRY-2;172.20.161.146;hua-ont;0 8 4 1;#REF!
MPW189;MT_ADISUCIPTOKM13;NS PONTIANAK;-0,11919;109,4100037;Bronze;GPON00-D6-SRY-2;172.20.161.146;hua-ont;0/18/12 0;#REF!
MPW190;MT_PARITBUGIS;NS PONTIANAK;-0,108879998;109,4029999;Bronze;GPON00-D6-SRY-2;172.20.161.146;hua-ont;0/18/10 0;#REF!
MPW192;-;NS PONTIANAK;-0,079813004;109,3669968;Bronze;GPON00-D6-SRY-2;172.20.161.146;hua-ont;0/8/10 0;#REF!
MPW193;MT_PARITMUKHSIN;NS PONTIANAK;-0,093369998;109,362999;Bronze;GPON00-D6-SRY-3;172.20.192.136;zte-ont;1/16/12:1;#REF!
MPW194;-;NS PONTIANAK;-0,162990004;109,4199982;Bronze;GPON01-D6-SRY-3SPD;172.20.227.71;zte-ont;1/2/14:16;#REF!
MPW195;MT_NIPAHKUNING;NS PONTIANAK;-0,01094;109,2860031;Bronze;GPON06-D6-JAW-2;172.20.161.180;hua-ont;0 6 15 0;#REF!
MPW196;TB_TRANSPONTI;NS PONTIANAK;-0,057119001;109,3919983;Silver;GPON04-D6-SAO-2;172.20.169.20;hua-ont;0/3/7 13;#REF!
MPW198;MC_TDCMEMPAWAH;NS PONTIANAK;0,361786008;108,9609985;Silver;GPON00-D6-MPW-2;172.20.161.132;hua-ont;0/1/13 42;#REF!
MPW202;-;NS PONTIANAK;0,025916699;109,2590027;Bronze;ME-D6-SIAN-3;172.31.150.109;metro;gei-0/3/0/16;#REF!
MPW203;-;NS PONTIANAK;-0,03224;109,3929977;Bronze;GPON00-D6-SAO-2;172.20.161.181;hua-ont;0/8/5 0;#REF!
MPW204;-;NS PONTIANAK;-0,00472;109,262001;Bronze;GPON00-D6-JAW-3;172.20.192.135;zte-ont;1/7/3:1;#REF!
MPW205;-;NS PONTIANAK;-0,066359997;109,2429962;Bronze;GPON01-D6-SEI-2BLDK;172.20.169.26;zte-ont;0/1/15 1;#REF!
MPW211;MT_PARITBERKAT;NS PONTIANAK;-0,178426996;109,2474823;;GPON02-D6-SEI-2PNGR;172.20.169.29;zte-ont;0/2/7 7;#REF!
MPW214;MT_PUNGGURBESAR;NS PONTIANAK;;;;GPON02-D6-SEI-2PNGR;172.20.169.29;hua-ont;0 2 6 6;#REF!
MPW217;DMT_DESA_WAJOK;NS PONTIANAK;;;;GPON01-D6-STA-2;172.20.161.173;hua-ont;0/5/0 0;#REF!
MPW359;MT_BO_DSSIMPANGKANAN;NS PONTIANAK;-0,09375;109,5351028;Gold;GPON02-D6-SAO-2DJT;172.20.161.190;hua-ont;0 2 0 9;#REF!
MPW400;DMT_ISATPASARRASAU;NS PONTIANAK;-0,248270005;109,3720016;;GPON02-D6-SRY-3RSA;172.20.227.73.;zte-ont;1/1/9:24;#REF!
MPW501;TB_PALSEMBILAN;NS PONTIANAK;;;;GPON11-D6-PTK-2;172.20.161.177;hua-ont;0 6 7 7;#REF!
MPW543;;NS PONTIANAK;;;;GPON00-D6-SRY-2;172.20.161.146;hua-ont;0/18/9 0;#REF!
MPW545;;NS PONTIANAK;;;;GPON00-D6-MPW-2;172.20.161.132;hua-ont;0/12/5 2;#REF!
MPW546;PT_DAENG_MENAMBONG;NS PONTIANAK;;;Gold;GPON00-D6-MPW-2;172.20.161.132;hua-ont;0 16 12 1;#REF!
MPW564;TB_SUNGAIDURIAN;NS PONTIANAK;-0,059069999;109,4235153;;GPON03-D6-SAO-3;172.20.160.78;zte-ont;1/15/15:18;#REF!
MPW583;;NS PONTIANAK;;;;GPON10-D6-SRY-2SPD;172.20.227.94;hua-ont;0 3 12 2;#REF!
MPW602;;NS PONTIANAK;;;;GPON00-D6-SAO-2;172.20.161.181;hua-ont;0/14/1 3;#REF!
MPW606;;NS PONTIANAK;-0,449499995;109,6082001;;-;-;-;-;-
MPW642;;NS PONTIANAK;;;;GPON01-D6-SDR-2;172.20.168.94;hua-ont;0 1 15 1;#REF!
MPW643;;NS PONTIANAK;;;;TSEL_MPW033_TOHO;172.25.146.51;switch;1/0/3;#REF!
MPW651;;NS PONTIANAK;;;;GPON07-D6-SRY-2;172.20.168.93;hua-ont;0 1 4 0;#REF!
MPW691;;NS PONTIANAK;;;;GPON04-D6-SEI-5PAL;172.20.227.96;alu-ont;xfp:3;#REF!
MPW712;GAIAMALL;NS PONTIANAK;;;;GPON08-D6-SRY-2BMRY;172.20.168.96;hua-ont;0 1 3 3;#REF!
MPW716;TBG_PARIT_HARUN;NS PONTIANAK;;;;172.20.227.85;GPON15-D6-PTK-2PDMN;zte-ont;0 2 12 1;#REF!
MPW740;;NS PONTIANAK;;;;GPON03-D6-SAO-3;172.20.160.78;zte-ont;1/17/1:6;#REF!
MPW747;;NS PONTIANAK;;;;GPON01-D6-SEI-2BLDK;172.20.169.26;hua-ont;0 1 8 21;#REF!
MPW749;;NS PONTIANAK;;;;GPON02-D6-ANJ-2;172.20.227.77;zte-ont;0/2/4 2;#REF!
MPW750;;NS PONTIANAK;;;;GPON08-D6-STA-2JNK;172.20.227.88;hua-ont;0 1 0 12;#REF!
NBA001;Mandor;NS PONTIANAK;0,318971992;109,3389969;Silver;SW-D6-SPY-TSEL-NBA001-04;172.25.146.31;switch;GE 20,21,22;#REF!
NBA002;Ngabang/STONGABANG;NS PONTIANAK;0,385309994;109,9540024;Gold;GPON00-D6-NGG-2;172.20.161.133;hua-ont;0 3 2 6;#REF!
NBA003;Menjalin;NS PONTIANAK;0,471168995;109,3399963;Silver;SW_NBA003;172.25.146.81;switch;GE1,GE2;#REF!
NBA004;Darit;NS PONTIANAK;0,591919005;109,6269989;Gold;SW-D6-NBA-TSEL-NBA004-4;172.25.146.33;switch;0/1/6;#REF!
NBA005;Senakin;NS PONTIANAK;0,373982012;109,5709991;Silver;SW-D6-SENAKIN-NBA005;172.20.19.108;switch;GE10;#REF!
NBA006;Sidas/SimpangSidas;NS PONTIANAK;0,401829988;109,7519989;Silver;GPON10-D6-NGG-2SDS;172.20.169.55;hua-direct_olt;0/3/3;#REF!
NBA007;Pahauman;NS PONTIANAK;0,310802996;109,6699982;Gold;GPON02-D6-NGG-2PHM;172.20.161.167;hua-ont;0 0 4 11;#REF!
NBA008;KARANGAN;NS PONTIANAK;0,55666697;109,3799973;Silver;-;-;-;-;-
NBA009;Ngabang_2/SimpangPTP13Ngabang/SIMPANGPTP13NGABANG;NS PONTIANAK;0,356525004;109,9240036;Gold;ME-D6-NBA-3;172.31.150.118;metro;2/1/5;#REF!
